"ANTONIO NARIÑO,""  106,648 "",""  107,044 "",""  107,387 "",""  107,682 "",""  107,935 "",""  108,150 "",""  108,307 "",""  108,457 "",""  108,607 "",""  108,766 "",""  108,941 "",""-74101"",""4549"""
"BARRIOS UNIDOS,""  224,216 "",""  226,532 "",""  228,434 "",""  230,026 "",""  231,435 "",""  232,802 "",""  233,781 "",""  234,948 "",""  236,433 "",""  238,380 "",""  240,960 "",""-74084"",""4666"""
"BOSA,""  495,283 "",""  510,346 "",""  525,153 "",""  539,794 "",""  554,389 "",""  569,093 "",""  583,056 "",""  597,522 "",""  612,754 "",""  629,066 "",""  646,833 "",""-74195"",""4631"""
"CHAPINERO,""  126,274 "",""  127,370 "",""  128,545 "",""  129,774 "",""  131,027 "",""  132,271 "",""  133,778 "",""  135,160 "",""  136,352 "",""  137,281 "",""  137,870 "",""-74047"",""4657"""
"CIUDAD BOLÍVAR,""  567,861 "",""  580,225 "",""  592,426 "",""  604,491 "",""  616,455 "",""  628,366 "",""  639,937 "",""  651,586 "",""  663,397 "",""  675,471 "",""  687,923 "",""-74154"",""4507"""
"ENGATIVÁ,""  793,944 "",""  802,875 "",""  811,520 "",""  819,912 "",""  828,096 "",""  836,124 "",""  843,722 "",""  851,299 "",""  858,935 "",""  866,719 "",""  874,755 "",""-74107"",""4707"""
"FONTIBÓN,""  297,933 "",""  306,109 "",""  314,175 "",""  322,172 "",""  330,156 "",""  338,198 "",""  345,909 "",""  353,859 "",""  362,167 "",""  370,976 "",""  380,453 "",""-74148"",""4683"""
"KENNEDY,""  944,777 "",""  959,298 "",""  972,837 "",""  985,570 "",""  997,693 "",""  1,009,527 "",""  1,019,949 "",""  1,030,623 "",""  1,042,080 "",""  1,054,850 "",""  1,069,469 "",""-74157"",""4627"""
"LA CANDELARIA,""  23,985 "",""  24,010 "",""  24,038 "",""  24,067 "",""  24,095 "",""  24,117 "",""  24,144 "",""  24,160 "",""  24,160 "",""  24,140 "",""  24,096 "",""-74074"",""4594"""
"LOS MÁRTIRES,""  95,866 "",""  96,210 "",""  96,568 "",""  96,930 "",""  97,283 "",""  97,611 "",""  97,926 "",""  98,209 "",""  98,450 "",""  98,637 "",""  98,758 "",""-74091"",""4603"""
"PUENTE ARANDA,""  257,090 "",""  257,279 "",""  257,583 "",""  257,962 "",""  258,368 "",""  258,751 "",""  258,441 "",""  258,212 "",""  258,102 "",""  258,154 "",""  258,414 "",""-74123"",""4615"""
"RAFAEL URIBE URIBE,""  376,711 "",""  376,867 "",""  377,134 "",""  377,440 "",""  377,704 "",""  377,836 "",""  377,615 "",""  377,272 "",""  376,767 "",""  376,060 "",""  375,107 "",""-74116"",""4565"""
"SAN CRISTÓBAL,""  409,653 "",""  409,864 "",""  410,066 "",""  410,214 "",""  410,259 "",""  410,148 "",""  409,799 "",""  409,257 "",""  408,477 "",""  407,416 "",""  406,025 "",""-74088"",""4546"""
"SANTA FE,""  109,463 "",""  109,464 "",""  109,554 "",""  109,704 "",""  109,882 "",""  110,049 "",""  109,993 "",""  109,955 "",""  109,945 "",""  109,974 "",""  110,053 "",""-74030"",""4596"""
"SUBA,""  918,580 "",""  943,335 "",""  968,279 "",""  993,377 "",""  1,018,629 "",""  1,044,006 "",""  1,069,114 "",""  1,094,488 "",""  1,120,342 "",""  1,146,985 "",""  1,174,736 "",""-74082"",""4765"""
"SUMAPAZ,""  5,952 "",""  6,020 "",""  6,079 "",""  6,131 "",""  6,179 "",""  6,224 "",""  6,258 "",""  6,296 "",""  6,340 "",""  6,393 "",""  6,460 "",""-74315"",""4035"""
"TEUSAQUILLO,""  138,993 "",""  140,151 "",""  141,366 "",""  142,619 "",""  143,891 "",""  145,157 "",""  146,583 "",""  147,933 "",""  149,166 "",""  150,236 "",""  151,092 "",""-74094"",""4645"""
"TUNJUELITO,""  202,342 "",""  202,245 "",""  202,198 "",""  202,168 "",""  202,119 "",""  202,010 "",""  201,843 "",""  201,593 "",""  201,230 "",""  200,725 "",""  200,048 "",""-74141"",""4588"""
"USAQUÉN,""  444,924 "",""  449,781 "",""  454,703 "",""  459,669 "",""  464,656 "",""  469,635 "",""  474,773 "",""  479,830 "",""  484,764 "",""  489,526 "",""  494,066 "",""-74031"",""4749"""
"USME,""  299,621 "",""  310,191 "",""  322,183 "",""  335,350 "",""  349,346 "",""  363,707 "",""  382,876 "",""  400,686 "",""  415,898 "",""  427,090 "",""  432,724 "",""-74103"",""4477"""
"TOTAL BOGOTÁ,""  6,840,116 "",""  6,945,216 "",""  7,050,228 "",""  7,155,052 "",""  7,259,597 "",""  7,363,782 "",""  7,467,804 "",""  7,571,345 "",""  7,674,366 "",""  7,776,845 "",""  7,878,783 "","""","""""
